4,"SELECT last # ra, dec, ObjID, modelMag_u, modelMag_g FROM photoObj WHERE ra between # and # and modelMag_u - modelMag_g > # and modelMag_g < #"
2019-11-24 16:48:00,1
2019-11-24 16:49:00,3
