103,"SELECT p.objId, p.ra, p.dec, p.petror9#_r, p.expAB_r, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z, s.plate, s.mjd, s.fiberid, pz.absMagR, pz.absMagU, pz.absMagI, pz.absMagG FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz as pz ON pz.objiD = p.objiD WHERE p.petror9#_r > # and p.ra between # and # and s.z between # and # and p.g < #"
2019-11-28 11:42:00,1
2019-11-28 11:45:00,1
2019-11-28 11:50:00,4
2019-11-28 11:51:00,5
2019-11-28 12:09:00,9
2019-11-28 12:17:00,9
2019-11-29 11:15:00,9
2019-11-29 14:15:00,6
2019-11-29 14:16:00,3
2019-11-29 18:32:00,9
2019-11-29 18:40:00,8
2019-11-30 13:14:00,9
2019-11-30 13:23:00,8
2019-12-01 07:52:00,2
2019-12-01 07:53:00,2
2019-12-01 07:54:00,1
2019-12-01 10:15:00,2
2019-12-01 10:16:00,4
2019-12-01 10:17:00,6
2019-12-01 10:18:00,5
