2,"SELECT m.*, e.specsfr_tot_p5#, e.lgm_tot_p5# INTO myDB.PosterResults FROM myDB.PosterCoord as m, galSpecExtra as e, PhotoObjAll as p WHERE e.specObjID = p.objID"
2019-07-23 17:32:00,1
2019-07-23 17:43:00,1
