14,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.g between .# and # and photoprimary.i between .# and # and photoprimary.r between # and # and photoprimary.u between # and # and photoprimary.z between # and #
2019-02-27 06:50:00,1
2019-02-27 06:55:00,1
2019-02-27 06:56:00,2
2019-02-27 07:00:00,2
2019-02-27 07:05:00,1
2019-02-27 07:27:00,1
2019-02-27 07:32:00,1
2019-02-27 07:41:00,2
2019-02-27 07:46:00,2
2019-02-27 08:06:00,1
