3,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, (p.u-p.r) as #, (p.r-p.i) as #, (p.r-p.z) as #, (p.g-p.r) as #, s.specobjid, s.class, s.subclass, s.z as redshift, pz.z as photo_z into mydb.betwixtdr1#_w_photoz from PhotoObj AS p, SpecObj as s, Photoz AS pz where s.bestobjid = p.objid AND p.objid = pz.objid AND s.z BETWEEN # AND # AND (p.u-p.r < = #) AND (p.r-p.i < = #) AND (p.r-p.z < = #) AND (p.g-p.r > = (p.r-p.i) + #) AND (p.u-p.r > = #* (p.r-p.z) )"
2019-08-21 04:03:00,2
2019-08-21 04:04:00,1
