2,"SELECT TOP # G.objID, GN.distance, u, g, r, I, z, clean FROM Galaxy as G JOIN dbo.fGetNearbyObjEq (#., #, #) AS GN ON G.objID = GN.objID WHERE clean = # ORDER BY distance"
2019-11-06 18:56:00,1
2019-11-07 06:25:00,1
