42,"SELECT TOP # s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..SpecObj as s JOIN ..Galaxy AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-05-04 02:37:00,1
2019-05-04 02:38:00,2
2019-05-04 02:39:00,2
2019-05-04 02:40:00,2
2019-05-04 02:41:00,2
2019-05-04 02:42:00,2
2019-05-04 02:43:00,2
2019-05-04 02:44:00,2
2019-05-04 02:45:00,2
2019-05-04 02:46:00,2
2019-05-04 02:58:00,1
2019-05-04 02:59:00,1
2019-05-04 03:00:00,1
2019-05-04 03:02:00,2
2019-05-04 03:03:00,1
2019-05-04 03:05:00,2
2019-05-04 03:06:00,2
2019-05-04 03:07:00,2
2019-05-04 03:08:00,2
2019-05-04 03:09:00,1
2019-05-04 03:10:00,2
2019-05-04 03:11:00,2
2019-05-04 03:12:00,2
2019-05-04 03:13:00,1
2019-05-04 03:14:00,1
