212,"SELECT p.specobjid, p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, s.z FROM PhotoPrimary AS p JOIN SpecPhoto AS s ON s.specobjid = p.specobjid WHERE p.specobjid = #"
2019-04-03 22:44:00,1
2019-04-04 19:50:00,1
2019-04-04 20:12:00,1
2019-04-04 20:13:00,1
2019-04-04 20:25:00,1
2019-04-04 20:26:00,5
2019-04-04 20:27:00,7
2019-04-04 20:28:00,3
2019-04-04 20:34:00,7
2019-04-04 20:35:00,6
2019-04-04 20:36:00,7
2019-04-04 20:37:00,7
2019-04-04 20:38:00,7
2019-04-04 20:39:00,6
2019-04-04 20:40:00,7
2019-04-04 20:41:00,7
2019-04-04 20:42:00,7
2019-04-04 20:43:00,6
2019-04-04 20:44:00,8
2019-04-04 20:45:00,7
2019-04-04 20:46:00,6
2019-04-04 20:47:00,7
2019-04-04 20:48:00,7
2019-04-04 20:49:00,6
2019-04-04 20:50:00,5
2019-04-04 20:51:00,1
2019-04-04 20:52:00,6
2019-04-04 20:53:00,7
2019-04-04 20:54:00,7
2019-04-04 20:55:00,7
2019-04-04 20:56:00,7
2019-04-04 20:57:00,7
2019-04-04 20:58:00,4
2019-04-04 20:59:00,3
2019-04-04 21:00:00,7
2019-04-04 21:01:00,6
2019-04-24 05:02:00,1
2019-04-24 05:22:00,1
2019-04-24 15:13:00,1
2019-04-24 15:14:00,3
2019-04-24 15:15:00,4
2019-04-24 15:16:00,4
2019-04-24 15:17:00,3
