4,"SELECT m.dr8objid, m.ra, m.dec, m.specobjid, p.objid, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, s.class, s.subclass, s.z as redshift , s.specObjID, g.h_beta_flux, g.oiii_#_flux, g.h_alpha_flux, g.nii_#_flux into S0_most_possible from dr1#.PhotoObjAll AS p JOIN dr1#.SpecObj AS s ON s.bestobjid = p.objid JOIN MyDB.S0_most_possible AS m ON m.dr8objid = p.objid JOIN dr1#.galSpecLines AS g ON s.specobjid = g.specobjid"
2019-04-18 01:55:00,1
2019-04-18 01:56:00,2
2019-04-18 06:29:00,1
