327477,"SELECT TOP # ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z, objID from STAR where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-21 01:00:00,10
2019-07-21 01:01:00,10
2019-07-21 01:02:00,20
2019-07-21 01:04:00,142
2019-07-21 01:05:00,242
2019-07-21 01:06:00,240
2019-07-21 01:07:00,237
2019-07-21 01:08:00,222
2019-07-21 01:09:00,231
2019-07-21 01:10:00,194
2019-07-21 01:11:00,173
2019-07-21 01:12:00,158
2019-07-21 01:13:00,209
2019-07-21 01:14:00,225
2019-07-21 01:15:00,209
2019-07-21 01:16:00,201
2019-07-21 01:17:00,207
2019-07-21 01:18:00,229
2019-07-21 01:19:00,220
2019-07-21 01:20:00,234
2019-07-21 01:21:00,236
2019-07-21 01:22:00,216
2019-07-21 01:23:00,214
2019-07-21 01:24:00,239
2019-07-21 01:25:00,236
2019-07-21 01:26:00,233
2019-07-21 01:27:00,258
2019-07-21 01:28:00,242
2019-07-21 01:29:00,234
2019-07-21 01:30:00,228
2019-07-21 01:31:00,263
2019-07-21 01:32:00,241
2019-07-21 01:33:00,233
2019-07-21 01:34:00,225
2019-07-21 01:35:00,227
2019-07-21 01:36:00,230
2019-07-21 01:37:00,234
2019-07-21 01:38:00,237
2019-07-21 01:39:00,225
2019-07-21 01:40:00,219
2019-07-21 01:41:00,248
2019-07-21 01:42:00,232
2019-07-21 01:43:00,229
2019-07-21 01:44:00,222
2019-07-21 01:45:00,232
2019-07-21 01:46:00,249
2019-07-21 01:47:00,227
2019-07-21 01:48:00,223
2019-07-21 01:49:00,229
2019-07-21 01:50:00,236
2019-07-21 01:51:00,240
2019-07-21 01:52:00,218
2019-07-21 01:53:00,227
2019-07-21 01:54:00,241
2019-07-21 01:55:00,236
2019-07-21 01:56:00,143
2019-07-21 01:57:00,139
2019-07-21 01:58:00,175
2019-07-21 01:59:00,233
2019-07-21 02:00:00,223
2019-07-21 02:01:00,231
2019-07-21 02:02:00,237
2019-07-21 02:03:00,238
2019-07-21 02:04:00,236
2019-07-21 02:05:00,228
2019-07-21 02:06:00,221
2019-07-21 02:07:00,222
2019-07-21 02:08:00,216
2019-07-21 02:09:00,230
2019-07-21 02:10:00,231
2019-07-21 02:11:00,235
2019-07-21 02:12:00,205
2019-07-21 02:13:00,235
2019-07-21 02:14:00,199
2019-07-21 02:15:00,182
2019-07-21 02:16:00,171
2019-07-21 02:17:00,238
2019-07-21 02:18:00,230
2019-07-21 02:19:00,224
2019-07-21 02:20:00,232
2019-07-21 02:21:00,229
2019-07-21 02:22:00,232
2019-07-21 02:23:00,237
2019-07-21 02:24:00,230
2019-07-21 02:25:00,229
2019-07-21 02:26:00,238
2019-07-21 02:27:00,229
2019-07-21 02:28:00,232
2019-07-21 02:29:00,233
2019-07-21 02:30:00,231
2019-07-21 02:31:00,229
2019-07-21 02:32:00,235
2019-07-21 02:33:00,232
2019-07-21 02:34:00,233
2019-07-21 02:35:00,244
2019-07-21 02:36:00,233
2019-07-21 02:37:00,231
2019-07-21 02:38:00,221
2019-07-21 02:39:00,239
2019-07-21 02:40:00,244
2019-07-21 02:41:00,240
2019-07-21 02:42:00,238
2019-07-21 02:43:00,232
2019-07-21 02:44:00,239
2019-07-21 02:45:00,241
2019-07-21 02:46:00,239
2019-07-21 02:47:00,246
2019-07-21 02:48:00,253
2019-07-21 02:49:00,253
2019-07-21 02:50:00,237
2019-07-21 02:51:00,238
2019-07-21 02:52:00,238
2019-07-21 02:53:00,234
2019-07-21 02:54:00,287
2019-07-21 02:55:00,230
2019-07-21 02:56:00,237
2019-07-21 02:57:00,253
2019-07-21 02:58:00,235
2019-07-21 02:59:00,234
2019-07-21 03:00:00,237
2019-07-21 03:01:00,229
2019-07-21 03:02:00,231
2019-07-21 03:03:00,214
2019-07-21 03:04:00,201
2019-07-21 03:05:00,171
2019-07-21 03:06:00,230
2019-07-21 03:07:00,233
2019-07-21 03:08:00,236
2019-07-21 03:09:00,231
2019-07-21 03:10:00,241
2019-07-21 03:11:00,240
2019-07-21 03:12:00,203
2019-07-21 03:13:00,224
2019-07-21 03:14:00,226
2019-07-21 03:15:00,239
2019-07-21 03:16:00,232
2019-07-21 03:17:00,228
2019-07-21 03:18:00,244
2019-07-21 03:19:00,242
2019-07-21 03:20:00,231
2019-07-21 03:21:00,261
2019-07-21 03:22:00,249
2019-07-21 03:23:00,235
2019-07-21 03:24:00,247
2019-07-21 03:25:00,226
2019-07-21 03:26:00,234
2019-07-21 03:27:00,225
2019-07-21 03:28:00,229
2019-07-21 03:29:00,231
2019-07-21 03:30:00,232
2019-07-21 03:31:00,232
2019-07-21 03:32:00,253
2019-07-21 03:33:00,244
2019-07-21 03:34:00,235
2019-07-21 03:35:00,245
2019-07-21 03:36:00,231
2019-07-21 03:37:00,255
2019-07-21 03:38:00,232
2019-07-21 03:39:00,237
2019-07-21 03:40:00,230
2019-07-21 03:41:00,238
2019-07-21 03:42:00,242
2019-07-21 03:43:00,232
2019-07-21 03:44:00,245
2019-07-21 03:45:00,227
2019-07-21 03:46:00,200
2019-07-21 03:47:00,153
2019-07-21 03:48:00,218
2019-07-21 03:49:00,237
2019-07-21 03:50:00,243
2019-07-21 03:51:00,236
2019-07-21 03:52:00,234
2019-07-21 03:53:00,230
2019-07-21 03:54:00,236
2019-07-21 03:55:00,231
2019-07-21 03:56:00,256
2019-07-21 03:57:00,146
2019-07-21 03:58:00,230
2019-07-21 03:59:00,233
2019-07-21 04:00:00,241
2019-07-21 04:01:00,244
2019-07-21 04:02:00,227
2019-07-21 04:03:00,215
2019-07-21 04:04:00,231
2019-07-21 04:05:00,172
2019-07-21 04:06:00,250
2019-07-21 04:07:00,230
2019-07-21 04:08:00,218
2019-07-21 04:09:00,233
2019-07-21 04:10:00,228
2019-07-21 04:11:00,238
2019-07-21 04:12:00,229
2019-07-21 04:13:00,232
2019-07-21 04:14:00,236
2019-07-21 04:15:00,240
2019-07-21 04:16:00,242
2019-07-21 04:17:00,242
2019-07-21 04:18:00,232
2019-07-21 04:19:00,232
2019-07-21 04:20:00,232
2019-07-21 04:21:00,223
2019-07-21 04:22:00,223
2019-07-21 04:23:00,239
2019-07-21 04:24:00,234
2019-07-21 04:25:00,240
2019-07-21 04:26:00,232
2019-07-21 04:27:00,230
2019-07-21 04:28:00,227
2019-07-21 04:29:00,242
2019-07-21 04:30:00,231
2019-07-21 04:31:00,237
2019-07-21 04:32:00,236
2019-07-21 04:33:00,233
2019-07-21 04:34:00,226
2019-07-21 04:35:00,231
2019-07-21 04:36:00,229
2019-07-21 04:37:00,234
2019-07-21 04:38:00,231
2019-07-21 04:39:00,221
2019-07-21 04:40:00,248
2019-07-21 04:41:00,230
2019-07-21 04:42:00,227
2019-07-21 04:43:00,229
2019-07-21 04:44:00,240
2019-07-21 04:45:00,230
2019-07-21 04:46:00,245
2019-07-21 04:47:00,226
2019-07-21 04:48:00,231
2019-07-21 04:49:00,230
2019-07-21 04:50:00,226
2019-07-21 04:51:00,230
2019-07-21 04:52:00,235
2019-07-21 04:53:00,219
2019-07-21 04:54:00,234
2019-07-21 04:55:00,231
2019-07-21 04:56:00,231
2019-07-21 04:57:00,146
2019-07-21 04:58:00,119
2019-07-21 04:59:00,146
2019-07-21 05:00:00,152
2019-07-21 05:01:00,145
2019-07-21 05:02:00,143
2019-07-21 05:03:00,146
2019-07-21 05:04:00,149
