14,"SELECT TOP # cast (str (s.ra, #, #) as float) as ra, cast (str (s.[dec], #, #) as float) as dec, s.z, p.i, p.objID, p.r, p.u FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.zWarning = # AND (p.type = # OR p.type = #)"
2019-11-18 07:59:00,1
2019-11-18 08:00:00,1
2019-11-18 08:10:00,2
2019-11-18 08:16:00,1
2019-11-18 08:28:00,1
2019-11-18 08:37:00,1
2019-11-18 08:38:00,1
2019-11-18 08:39:00,1
2019-11-18 08:43:00,1
2019-11-18 08:49:00,1
2019-11-18 08:57:00,1
2019-11-18 09:00:00,1
2019-11-18 09:02:00,1
