141,select fieldid from field where cccol_u between -.# and .# and skyframes_r between -.# and .#
2019-01-24 23:35:00,10
2019-01-24 23:37:00,4
2019-01-24 23:42:00,10
2019-01-24 23:44:00,1
2019-01-24 23:45:00,6
2019-01-24 23:50:00,5
2019-01-24 23:51:00,3
2019-01-24 23:53:00,4
2019-01-24 23:54:00,10
2019-01-24 23:55:00,4
2019-01-24 23:56:00,9
2019-01-24 23:58:00,9
2019-01-25 00:02:00,13
2019-01-25 00:07:00,3
2019-01-25 00:08:00,7
2019-01-25 00:09:00,9
2019-01-25 00:10:00,9
2019-01-25 00:12:00,3
2019-01-25 00:14:00,2
2019-01-25 00:15:00,1
2019-01-25 00:16:00,3
2019-01-25 04:30:00,16
