23,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetObjFromRect (#, #, #, #) AS b ON s.bestobjid = b.objID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < #"
2019-01-18 15:52:00,1
2019-01-18 15:55:00,1
2019-01-21 15:32:00,1
2019-01-21 20:34:00,1
2019-03-19 19:42:00,1
2019-03-21 10:53:00,1
2019-05-04 02:36:00,2
2019-05-04 15:42:00,2
2019-05-04 15:53:00,1
2019-05-05 20:33:00,1
2019-05-07 14:40:00,1
2019-05-07 15:43:00,1
2019-05-07 15:50:00,2
2019-05-07 15:59:00,1
2019-07-11 16:00:00,1
2019-07-16 19:39:00,1
2019-09-19 01:04:00,1
2019-11-22 23:49:00,1
2019-12-08 22:49:00,1
2019-12-08 22:50:00,1
