14,"SELECT u.up_name as name, s.ra, s.dec, s.class, s.subClass, s.z, s.zErr, s.zWarning, s.bestObjID, s.specObjID, g.oiii_flux, g.oiii_flux_err, g.oiii_voff, g.oiii_chi2 FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN SpecObj s ON s.specObjID = x.specObjID JOIN GalSpecLine AS g ON g.specObjID = s.specObjID##', @log = #, @filter = #"
2019-03-05 17:05:00,1
2019-03-05 17:06:00,1
2019-03-05 17:29:00,1
2019-03-05 17:31:00,1
2019-03-05 17:32:00,1
2019-03-05 17:35:00,1
2019-03-05 17:38:00,1
2019-03-05 17:47:00,1
2019-03-05 18:02:00,2
2019-03-05 18:03:00,1
2019-03-05 18:04:00,1
2019-03-05 18:06:00,2
