65,"SELECT top # ra, dec FROM SpecObj WHERE (class = #) AND subclass = #"
2019-03-20 04:01:00,7
2019-03-20 04:02:00,1
2019-03-20 04:03:00,3
2019-03-20 04:04:00,7
2019-03-20 04:05:00,1
2019-03-20 04:06:00,6
2019-03-20 04:07:00,6
2019-03-20 04:08:00,5
2019-03-20 04:10:00,1
2019-03-20 04:11:00,4
2019-03-20 04:12:00,1
2019-03-20 04:19:00,2
2019-03-20 04:26:00,1
2019-03-20 04:29:00,1
2019-03-20 04:34:00,2
2019-03-21 03:38:00,1
2019-03-21 03:46:00,2
2019-03-21 03:48:00,1
2019-03-21 03:50:00,1
2019-03-21 03:55:00,2
2019-03-21 03:58:00,1
2019-03-21 04:00:00,2
2019-03-21 04:02:00,3
2019-03-21 04:06:00,3
2019-03-21 04:16:00,1
