4,"select top # p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.u BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-07-17 19:38:00,2
2019-07-17 19:39:00,1
2019-07-17 19:43:00,1
