31,SELECT TOP # s.bestObjID
2019-02-20 10:00:00,1
2019-02-20 10:44:00,1
2019-02-26 09:40:00,1
2019-02-26 09:44:00,1
2019-02-26 09:48:00,1
2019-02-26 09:50:00,1
2019-03-03 09:21:00,1
2019-03-03 09:23:00,1
2019-03-08 15:32:00,1
2019-03-08 15:37:00,1
2019-03-08 15:52:00,1
2019-03-08 16:00:00,1
2019-03-10 12:44:00,2
2019-03-10 12:45:00,1
2019-03-10 12:48:00,1
2019-03-10 12:49:00,1
2019-03-10 12:50:00,2
2019-03-10 12:51:00,2
2019-03-10 12:56:00,2
2019-03-10 12:57:00,1
2019-03-10 12:59:00,1
2019-03-10 13:06:00,1
2019-03-11 02:52:00,1
2019-03-11 02:56:00,1
2019-04-03 20:36:00,3
