74,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq (#, +#, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-01-30 20:40:00,1
2019-02-20 18:54:00,1
2019-02-21 14:04:00,1
2019-02-21 14:12:00,1
2019-02-26 16:46:00,1
2019-02-26 19:51:00,1
2019-02-28 16:00:00,1
2019-02-28 16:53:00,1
2019-03-05 13:56:00,1
2019-03-05 14:17:00,1
2019-03-05 14:24:00,1
2019-03-05 18:29:00,1
2019-03-18 19:53:00,1
2019-03-26 13:56:00,1
2019-03-26 14:31:00,1
2019-03-29 12:19:00,1
2019-03-29 12:53:00,1
2019-04-26 15:51:00,1
2019-05-06 13:00:00,1
2019-08-05 15:27:00,1
2019-08-06 12:53:00,1
2019-08-06 13:24:00,1
2019-08-06 18:58:00,1
2019-08-06 19:22:00,1
2019-08-06 19:45:00,1
2019-08-06 20:08:00,1
2019-08-06 20:32:00,1
2019-08-06 20:52:00,1
2019-08-06 21:30:00,1
2019-08-06 21:53:00,1
2019-08-06 22:15:00,1
2019-08-06 22:45:00,1
2019-08-08 13:49:00,1
2019-08-08 14:12:00,1
2019-08-08 14:37:00,1
2019-08-08 15:00:00,1
2019-08-08 15:27:00,1
2019-08-08 15:51:00,1
2019-08-08 16:30:00,1
2019-08-08 16:53:00,1
2019-08-08 17:15:00,1
2019-08-08 17:45:00,1
2019-08-13 12:18:00,1
2019-08-13 12:39:00,1
2019-08-13 20:15:00,1
2019-08-13 20:57:00,1
2019-08-13 21:20:00,1
2019-08-13 21:46:00,1
2019-08-14 14:03:00,1
2019-08-14 18:48:00,1
2019-08-14 19:21:00,1
2019-08-14 20:21:00,1
2019-08-14 21:23:00,1
2019-08-15 15:23:00,1
2019-08-15 15:56:00,1
2019-08-15 16:57:00,1
2019-08-15 17:59:00,1
2019-08-20 18:39:00,1
2019-08-20 19:10:00,1
2019-08-20 19:40:00,1
2019-08-20 22:23:00,1
2019-08-20 22:54:00,1
2019-08-21 12:42:00,1
2019-08-21 13:32:00,1
2019-08-21 14:30:00,1
2019-08-21 15:47:00,1
2019-08-21 19:48:00,1
2019-08-26 21:48:00,1
2019-09-06 16:38:00,1
2019-09-20 18:46:00,1
2019-09-20 19:18:00,1
2019-10-07 18:09:00,1
2019-11-05 16:52:00,1
2019-11-07 14:16:00,1
