2,"select top # p.u, p.g, p.r, p.i, p.z from photoobj p where (p.u-p.g BETWEEN # AND #) and (p.g-p.r BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #)"
2019-12-08 03:22:00,1
2019-12-08 03:27:00,1
