45,SELECT count (s.bestObjID)
2019-01-15 02:44:00,2
2019-01-15 02:45:00,1
2019-01-15 02:47:00,1
2019-01-15 02:58:00,1
2019-01-15 03:04:00,1
2019-01-15 03:05:00,1
2019-01-15 03:06:00,1
2019-01-15 03:07:00,2
2019-01-15 03:09:00,1
2019-01-15 03:10:00,1
2019-01-15 03:11:00,1
2019-01-15 03:12:00,1
2019-01-16 00:34:00,2
2019-01-16 00:41:00,1
2019-01-16 02:45:00,1
2019-01-16 02:46:00,1
2019-01-16 02:47:00,1
2019-01-22 00:41:00,2
2019-01-22 00:42:00,1
2019-01-23 09:05:00,2
2019-01-23 09:09:00,1
2019-03-18 14:07:00,1
2019-03-18 14:10:00,1
2019-06-05 00:37:00,1
2019-06-17 00:44:00,1
2019-06-17 00:47:00,1
2019-06-17 00:48:00,1
2019-06-17 00:49:00,1
2019-06-17 00:50:00,1
2019-06-17 00:56:00,1
2019-06-17 00:57:00,1
2019-06-17 01:00:00,1
2019-06-17 01:01:00,1
2019-06-19 12:28:00,1
2019-09-17 05:34:00,1
2019-09-17 05:37:00,1
2019-09-17 05:38:00,1
2019-09-17 05:44:00,1
2019-09-18 07:24:00,1
2019-09-18 07:25:00,1
