60,"SELECT DISTINCT p.ra, p.dec, p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-02-06 17:02:00,1
2019-02-06 17:04:00,2
2019-02-06 18:19:00,28
2019-02-06 18:31:00,28
2019-02-27 18:52:00,1
