11,"SELECT id AS up_id, ra AS up_ra, dec AS up_dec FROM MYDB.QSOlist CREATE TABLE #tmp (up_id varchar (#) , objid bigint) INSERT INTO #tmp EXEC spGetNeighbors # INSERT INTO MYDB.dados_qsos_sdss SELECT a.id, a.ra, a.dec, t.objid as matched_id, s.specObjID, s.plate, s.mjd, s.fiberID, s.ra, s.dec, s.z, p.cModelMag_r, p.cModelMagErr_r FROM #tmp t JOIN MYDB.QSOlist a ON t.up_id = a.id JOIN specobj s ON s.bestobjid = t.objid JOIN PhotoTag p ON p.objID = t.objid"
2019-11-22 12:11:00,1
2019-11-22 12:53:00,1
2019-11-22 16:53:00,1
2019-11-22 16:56:00,1
2019-11-22 16:58:00,1
2019-11-22 17:10:00,1
2019-11-25 09:20:00,1
2019-11-25 09:22:00,1
2019-11-25 09:26:00,1
2019-11-25 09:36:00,1
2019-11-25 09:37:00,1
