4,"SELECT ra, dec, u, g, r, i, z, Err_u, Err_g, Err_r, Err_i, Err_z FROM BestDR1#..Star WHERE ( ((ra BETWEEN # AND #) AND (dec BETWEEN # AND #) ))"
2019-04-11 03:02:00,1
2019-04-11 03:10:00,2
2019-04-11 03:11:00,1
