6,"SELECT TOP # s.z, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r, p.g, p.i, p.u, p.z FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND (p.type = #)"
2019-04-20 23:23:00,2
2019-04-20 23:24:00,3
2019-04-20 23:25:00,1
