3,"SELECT TOP # p.objid, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.z > .#"
2019-11-07 21:30:00,1
2019-11-07 21:31:00,2
