10,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, specobj s where p.objid = s.bestobjid and (s.class = #)"
2019-03-06 11:16:00,1
2019-03-06 14:53:00,1
2019-03-26 08:18:00,2
2019-03-26 08:21:00,1
2019-03-26 08:31:00,1
2019-03-26 08:42:00,1
2019-03-26 08:44:00,1
2019-04-02 08:29:00,1
2019-07-10 18:13:00,1
