60,"SELECT top # p.objId, p.ra, p.dec, p.l, p.b, p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i, s.z as z_spec, s.plate, s.mjd, s.fiberid FROM galaxy AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.g < #"
2019-03-05 14:54:00,1
2019-03-05 14:55:00,2
2019-03-06 11:16:00,1
2019-03-06 11:17:00,1
2019-03-06 11:18:00,1
2019-03-06 11:19:00,2
2019-03-06 11:23:00,2
2019-03-06 11:25:00,1
2019-03-06 11:26:00,2
2019-03-06 11:27:00,2
2019-03-06 11:28:00,1
2019-03-06 11:29:00,2
2019-03-06 11:30:00,5
2019-03-06 11:31:00,4
2019-03-06 11:33:00,1
2019-03-06 11:36:00,2
2019-03-06 17:25:00,1
2019-03-06 17:28:00,1
2019-03-06 17:29:00,2
2019-03-06 17:30:00,1
2019-03-06 17:46:00,2
2019-03-06 17:47:00,1
2019-03-06 17:54:00,1
2019-03-06 17:55:00,2
2019-03-06 17:58:00,1
2019-03-06 17:59:00,3
2019-03-06 18:29:00,4
2019-03-06 18:30:00,4
2019-03-06 18:31:00,3
2019-03-06 18:32:00,2
2019-03-06 18:37:00,1
2019-03-06 18:39:00,1
