4,"SELECT TOP # s.z as redshift, s.elodieSpType as spectraltype, s.elodieBV as color, s.elodieTEff as temperature, s.elodieLogG as gravity, s.elodieFeH as metallicity, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, psfMag_z FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.u BETWEEN # AND # AND g BETWEEN # AND # AND s.class = STAR"
2019-05-09 19:45:00,2
2019-05-09 19:51:00,2
