17,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.objid = #"
2019-01-06 15:01:00,1
2019-02-25 21:03:00,1
2019-05-16 02:25:00,1
2019-05-24 08:10:00,1
2019-05-25 19:52:00,1
2019-07-09 10:54:00,1
2019-07-29 01:53:00,1
2019-10-10 12:43:00,1
2019-10-10 12:44:00,1
2019-10-10 12:45:00,1
2019-10-10 12:57:00,1
2019-10-15 13:48:00,1
2019-11-11 15:50:00,1
2019-11-16 03:19:00,1
2019-11-18 12:07:00,1
2019-11-18 12:09:00,1
2019-12-13 17:58:00,1
