18,"SELECT ALL p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-01-02 15:11:00,1
2019-01-02 15:19:00,1
2019-01-02 15:22:00,1
2019-01-03 07:10:00,1
2019-10-21 19:55:00,1
2019-10-23 17:31:00,1
2019-10-23 17:33:00,1
2019-10-23 18:06:00,1
2019-10-23 18:15:00,1
2019-10-23 18:22:00,1
2019-10-23 18:23:00,2
2019-10-23 18:26:00,2
2019-10-23 18:28:00,2
2019-10-23 18:38:00,2
