2,"SELECT n.sersic_n, n.iauname, n.z from DR1#.nsatlas as n where ( (n.ra-#) * (n.ra-#) + (n.dec+#) * (n.dec+#) ) < #"
2019-04-30 04:19:00,1
2019-04-30 04:20:00,1
