22,"SELECT u.up_run as run, u.up_rerun as rerun, u.up_camcol as camcol, u.up_field as field, u.up_obj as obj, # + cast (x.objId as varchar (#) ) + #+ cast (x.objId as varchar (#) ) + # as objID, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN (p.type) as type, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z FROM #upload u JOIN #x x ON x.up_id = u.up_id JOIN PhotoTag p ON p.objID = x.objID ORDER by x.up_id"
2019-03-07 12:29:00,2
2019-03-07 12:30:00,1
2019-03-07 12:32:00,1
2019-03-07 12:34:00,1
2019-03-07 13:03:00,1
2019-03-07 13:09:00,3
2019-03-07 15:05:00,4
2019-03-07 15:06:00,4
2019-03-11 08:34:00,1
2019-06-14 17:15:00,2
2019-06-17 15:16:00,1
2019-12-05 05:19:00,1
