919,"SELECT top # run, rerun, camcol, field, mjd_r as primary_mjd FROM Field WHERE mjd_r > #"
2019-01-01 05:00:00,1
2019-01-01 09:50:00,1
2019-01-01 11:12:00,1
2019-01-02 00:21:00,1
2019-01-02 00:51:00,1
2019-01-02 01:43:00,1
2019-01-03 11:11:00,1
2019-01-03 14:28:00,1
2019-01-05 08:15:00,1
2019-01-05 08:30:00,1
2019-01-05 11:32:00,1
2019-01-05 12:31:00,1
2019-01-06 12:48:00,1
2019-01-07 00:14:00,1
2019-01-07 15:49:00,1
2019-01-07 23:35:00,1
2019-01-08 00:38:00,1
2019-01-08 03:33:00,1
2019-01-08 03:46:00,1
2019-01-08 06:10:00,1
2019-01-08 06:29:00,1
2019-01-08 07:29:00,1
2019-01-08 08:43:00,1
2019-01-08 15:39:00,1
2019-01-09 19:59:00,1
2019-01-10 02:24:00,1
2019-01-10 22:41:00,1
2019-01-11 04:48:00,1
2019-01-12 03:27:00,1
2019-01-12 09:15:00,1
2019-01-13 08:34:00,1
2019-01-13 09:14:00,1
2019-01-14 11:29:00,1
2019-01-15 10:27:00,1
2019-01-17 04:26:00,1
2019-01-17 05:04:00,1
2019-01-17 21:55:00,2
2019-01-19 02:43:00,1
2019-01-19 04:01:00,1
2019-01-19 20:44:00,1
2019-01-20 04:31:00,1
2019-01-20 18:22:00,1
2019-01-22 07:55:00,1
2019-01-22 08:32:00,1
2019-01-22 08:54:00,1
2019-01-22 13:50:00,1
2019-01-22 20:44:00,1
2019-01-23 23:31:00,1
2019-01-24 13:29:00,1
2019-01-25 11:12:00,1
2019-01-25 16:02:00,1
2019-01-25 17:19:00,1
2019-01-26 13:20:00,1
2019-01-26 20:57:00,1
2019-01-27 01:42:00,1
2019-01-27 11:14:00,1
2019-01-27 14:50:00,1
2019-01-27 22:28:00,1
2019-01-28 14:41:00,1
2019-01-28 15:21:00,1
2019-01-29 01:24:00,1
2019-01-30 04:02:00,1
2019-01-30 09:34:00,1
2019-01-30 13:42:00,1
2019-01-30 16:39:00,2
2019-01-30 23:14:00,1
2019-02-01 01:08:00,1
2019-02-01 10:25:00,1
2019-02-01 19:39:00,1
2019-02-01 21:58:00,1
2019-02-02 08:29:00,1
2019-02-02 15:29:00,1
2019-02-04 13:42:00,1
2019-02-04 14:15:00,1
2019-02-04 14:46:00,1
2019-02-05 08:34:00,1
2019-02-08 01:34:00,1
2019-02-08 05:09:00,1
2019-02-08 09:09:00,1
2019-02-08 16:51:00,1
2019-02-08 18:16:00,1
2019-02-08 18:54:00,1
2019-02-08 20:42:00,1
2019-02-08 22:23:00,1
2019-02-09 05:12:00,1
2019-02-09 17:38:00,1
2019-02-09 17:59:00,1
2019-02-10 05:57:00,1
2019-02-10 09:47:00,1
2019-02-11 04:26:00,1
2019-02-11 11:22:00,1
2019-02-11 21:49:00,1
2019-02-11 22:16:00,1
2019-02-11 22:30:00,1
2019-02-12 16:00:00,1
2019-02-12 19:34:00,1
2019-02-12 19:47:00,1
2019-02-13 13:09:00,1
2019-02-14 12:19:00,1
2019-02-14 12:20:00,1
2019-02-14 13:02:00,1
2019-02-14 18:54:00,1
2019-02-14 22:12:00,1
2019-02-16 00:13:00,1
2019-02-16 04:24:00,1
2019-02-16 19:03:00,1
2019-02-16 20:47:00,1
2019-02-17 09:28:00,1
2019-02-18 00:07:00,1
2019-02-18 03:11:00,1
2019-02-19 00:05:00,1
2019-02-19 20:55:00,1
2019-02-20 00:25:00,1
2019-02-20 00:57:00,1
2019-02-20 07:59:00,1
2019-02-21 13:48:00,1
2019-02-22 07:46:00,1
2019-02-24 14:06:00,1
2019-02-25 05:37:00,1
2019-02-25 18:48:00,1
2019-02-26 02:10:00,1
2019-02-27 19:58:00,1
2019-02-27 22:38:00,1
2019-02-28 02:31:00,1
2019-02-28 02:51:00,1
2019-02-28 03:38:00,1
2019-02-28 04:38:00,1
2019-02-28 08:43:00,1
2019-02-28 15:01:00,1
2019-02-28 19:28:00,1
2019-02-28 19:42:00,1
2019-02-28 23:42:00,1
2019-03-01 02:47:00,1
2019-03-01 03:52:00,1
2019-03-01 04:44:00,1
2019-03-01 10:13:00,1
2019-03-01 13:06:00,1
2019-03-01 17:02:00,1
2019-03-01 21:57:00,1
2019-03-01 22:38:00,1
2019-03-02 02:15:00,1
2019-03-02 02:51:00,1
2019-03-02 02:55:00,1
2019-03-02 22:44:00,1
2019-03-03 03:01:00,1
2019-03-04 04:12:00,1
2019-03-04 10:35:00,1
2019-03-04 21:22:00,1
2019-03-04 22:50:00,1
2019-03-05 07:39:00,1
2019-03-05 09:01:00,1
2019-03-06 14:51:00,1
2019-03-06 23:24:00,1
2019-03-07 07:07:00,1
2019-03-07 08:32:00,1
2019-03-07 13:57:00,1
2019-03-08 11:10:00,1
2019-03-08 14:27:00,1
2019-03-08 21:37:00,1
2019-03-08 22:30:00,1
2019-03-08 23:19:00,1
2019-03-08 23:43:00,1
2019-03-09 07:49:00,1
2019-03-09 11:51:00,1
2019-03-09 22:10:00,1
2019-03-10 02:30:00,1
2019-03-10 16:58:00,1
2019-03-10 18:14:00,1
2019-03-11 01:18:00,1
2019-03-11 02:56:00,1
2019-03-11 03:24:00,1
2019-03-11 08:38:00,1
2019-03-11 16:55:00,1
2019-03-12 08:05:00,1
2019-03-13 03:08:00,1
2019-03-13 03:43:00,1
2019-03-14 04:32:00,1
2019-03-14 11:51:00,1
2019-03-14 13:01:00,1
2019-03-15 01:31:00,1
2019-03-15 03:53:00,1
2019-03-15 18:50:00,1
2019-03-17 13:30:00,1
2019-03-17 18:45:00,1
2019-03-17 21:53:00,1
2019-03-19 03:18:00,1
2019-03-19 14:46:00,2
2019-03-19 18:29:00,1
2019-03-20 13:52:00,1
2019-03-21 05:07:00,1
2019-03-21 16:42:00,1
2019-03-21 19:32:00,1
2019-03-22 06:13:00,1
2019-03-24 17:57:00,1
2019-03-24 22:08:00,1
2019-03-25 02:13:00,1
2019-03-25 05:01:00,1
2019-03-25 07:40:00,1
2019-03-25 10:12:00,1
2019-03-25 11:02:00,1
2019-03-25 17:17:00,1
2019-03-26 09:49:00,1
2019-03-26 10:54:00,1
2019-03-26 11:39:00,1
2019-03-26 13:15:00,1
2019-03-26 19:57:00,1
2019-03-26 20:33:00,1
2019-03-26 21:00:00,1
2019-03-27 01:03:00,1
2019-03-27 07:39:00,1
2019-03-27 08:47:00,1
2019-03-27 17:07:00,1
2019-03-27 19:25:00,1
2019-03-28 16:19:00,1
2019-03-28 16:53:00,1
2019-03-28 18:37:00,1
2019-03-28 18:53:00,1
2019-03-28 20:03:00,1
2019-03-28 23:03:00,1
2019-03-29 23:55:00,1
2019-03-30 09:51:00,1
2019-03-31 13:37:00,1
2019-03-31 20:51:00,1
2019-04-01 06:27:00,1
2019-04-01 11:37:00,1
2019-04-01 20:08:00,1
2019-04-01 20:24:00,1
2019-04-01 22:23:00,1
2019-04-02 10:48:00,1
2019-04-04 04:42:00,1
2019-04-04 13:35:00,1
2019-04-04 22:38:00,1
2019-04-04 23:46:00,1
2019-04-05 02:00:00,1
2019-04-05 03:44:00,1
2019-04-05 07:49:00,1
