15,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid and p.r < #"
2019-01-22 06:27:00,1
2019-01-22 06:28:00,2
2019-01-22 06:32:00,3
2019-01-22 06:33:00,1
2019-01-22 06:34:00,1
2019-01-22 06:35:00,5
2019-01-22 06:40:00,1
2019-12-17 13:10:00,1
