1830,"SELECT pz.* FROM SpecPhotoAll as pz JOIN dbo.fGetNearestObjEq (#, #, #) AS n ON pz.objid = n.objid"
2019-04-10 19:22:00,3
2019-04-10 19:28:00,82
2019-04-10 19:29:00,126
2019-04-10 19:30:00,128
2019-04-10 19:31:00,118
2019-04-10 19:32:00,124
2019-04-10 19:33:00,127
2019-04-10 19:34:00,102
2019-04-10 19:35:00,3
2019-04-10 19:36:00,3
2019-04-10 19:37:00,6
2019-04-10 19:38:00,6
2019-04-10 19:40:00,3
2019-04-10 19:41:00,97
2019-04-10 19:42:00,129
2019-04-10 19:43:00,129
2019-04-10 19:44:00,127
2019-04-10 19:45:00,125
2019-04-10 19:46:00,122
2019-04-10 19:47:00,121
2019-04-10 19:48:00,124
2019-04-10 19:49:00,25
