31,select * from geotest
2019-11-24 17:41:00,1
2019-11-25 13:49:00,1
2019-11-25 13:50:00,1
2019-11-25 13:51:00,4
2019-11-25 13:52:00,1
2019-11-25 13:53:00,1
2019-11-25 13:55:00,2
2019-11-25 14:25:00,1
2019-11-25 15:29:00,2
2019-11-25 15:30:00,2
2019-11-26 11:20:00,1
2019-11-26 16:26:00,1
2019-11-26 16:27:00,1
2019-12-02 11:20:00,1
2019-12-02 11:21:00,3
2019-12-02 11:22:00,1
2019-12-02 11:23:00,1
2019-12-02 11:40:00,1
2019-12-02 11:42:00,1
2019-12-02 11:58:00,1
2019-12-02 11:59:00,1
2019-12-02 15:01:00,1
2019-12-02 15:06:00,1
