14,"select ra, dec, psfMag_r, psfMagErr_r, extinction_r from star where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-09-29 22:59:00,1
2019-09-29 23:13:00,1
2019-09-29 23:14:00,1
2019-09-29 23:15:00,4
2019-09-29 23:16:00,1
2019-09-29 23:33:00,3
2019-09-30 01:08:00,2
2019-09-30 01:10:00,1
