38,"INSERT INTO Census (ID, Geog) VALUES (#, geography::STGeomFromText ('POLYGON ((# #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, # #, #"
2019-10-05 19:14:00,1
2019-10-05 19:16:00,3
2019-10-05 19:17:00,5
2019-10-05 19:20:00,2
2019-10-05 19:21:00,1
2019-10-05 19:22:00,1
2019-10-05 19:23:00,2
2019-10-05 19:24:00,1
2019-10-05 19:25:00,5
2019-10-05 19:26:00,2
2019-10-05 19:27:00,3
2019-10-05 19:28:00,1
2019-10-05 19:29:00,4
2019-10-05 19:30:00,3
2019-10-05 19:31:00,4
