5,"SELECT TOP # p.objid, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, s.class, s.z as redshift FROM photoObj AS p JOIN specObj s ON s.bestobjid = p.objid WHERE s.class = # AND s.z < # AND s.z > # AND p.modelMag_u > # AND p.modelMag_g > # AND p.modelMag_r > # AND p.modelMag_i > # AND p.modelMag_z > #"
2019-03-11 11:02:00,2
2019-03-11 11:23:00,1
2019-03-11 11:28:00,1
2019-03-11 11:29:00,1
