103,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.zWarning = #"
2019-01-29 12:39:00,1
2019-02-05 11:52:00,1
2019-03-01 01:47:00,1
2019-03-01 02:43:00,1
2019-03-03 16:17:00,3
2019-03-03 16:21:00,1
2019-03-03 16:24:00,1
2019-03-03 16:26:00,1
2019-03-03 16:27:00,1
2019-03-03 16:29:00,1
2019-03-03 16:30:00,1
2019-03-03 16:31:00,1
2019-03-03 16:32:00,1
2019-03-03 16:33:00,1
2019-03-03 16:38:00,2
2019-03-03 16:40:00,2
2019-03-03 16:47:00,1
2019-03-03 16:49:00,1
2019-03-03 16:52:00,1
2019-03-03 16:54:00,3
2019-03-03 16:55:00,1
2019-03-03 16:58:00,1
2019-03-03 16:59:00,1
2019-03-03 17:00:00,1
2019-03-03 17:01:00,1
2019-03-03 17:11:00,1
2019-03-03 17:12:00,1
2019-03-03 17:45:00,1
2019-03-03 20:17:00,1
2019-03-03 21:15:00,1
2019-03-03 21:16:00,1
2019-03-03 21:22:00,1
2019-03-03 21:24:00,1
2019-03-04 21:00:00,1
2019-03-04 21:06:00,1
2019-03-04 21:07:00,1
2019-03-04 21:10:00,1
2019-03-04 21:11:00,1
2019-03-04 21:15:00,1
2019-03-04 21:17:00,1
2019-03-04 21:19:00,1
2019-03-04 21:22:00,1
2019-03-04 21:26:00,1
2019-03-04 21:32:00,1
2019-03-04 21:34:00,1
2019-03-04 21:45:00,1
2019-03-05 21:20:00,1
2019-03-05 21:25:00,1
2019-03-05 21:28:00,1
2019-03-05 21:34:00,1
2019-03-05 21:39:00,1
2019-03-05 21:43:00,1
2019-03-05 21:53:00,1
2019-03-05 21:55:00,1
2019-03-05 21:59:00,1
2019-03-05 22:04:00,1
2019-03-06 20:28:00,1
2019-03-06 20:37:00,1
2019-03-06 21:20:00,1
2019-03-06 21:34:00,1
2019-03-07 02:37:00,1
2019-03-19 14:59:00,1
2019-04-02 11:38:00,1
2019-04-08 02:09:00,1
2019-04-18 04:33:00,1
2019-05-02 15:02:00,1
2019-05-02 15:05:00,1
2019-05-10 03:50:00,1
2019-05-11 00:41:00,1
2019-05-11 01:05:00,1
2019-05-11 01:08:00,1
2019-06-03 15:12:00,1
2019-06-06 18:44:00,1
2019-06-21 13:12:00,1
2019-06-21 13:13:00,1
2019-06-21 17:40:00,1
2019-06-22 04:39:00,1
2019-06-23 19:06:00,1
2019-06-25 00:11:00,1
2019-06-30 14:52:00,1
2019-10-05 14:08:00,1
2019-11-04 17:32:00,1
2019-12-05 09:08:00,1
2019-12-05 09:11:00,1
2019-12-05 11:37:00,1
2019-12-13 10:39:00,1
2019-12-26 08:44:00,1
2019-12-26 08:45:00,1
2019-12-26 08:46:00,1
2019-12-26 09:02:00,1
2019-12-26 09:03:00,1
2019-12-29 21:48:00,1
2019-12-29 21:49:00,4
2019-12-29 21:50:00,1
