44,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.field, p.mjd, p.u, p.g, p.r, p.i, p.z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-06-14 13:56:00,1
2019-06-14 14:02:00,1
2019-06-14 14:03:00,1
2019-06-14 14:05:00,1
2019-06-14 14:48:00,1
2019-06-14 14:49:00,2
2019-06-14 14:50:00,1
2019-06-14 14:52:00,1
2019-06-14 14:53:00,2
2019-06-14 14:54:00,1
2019-06-14 15:11:00,1
2019-06-14 15:12:00,2
2019-06-14 15:13:00,1
2019-06-14 15:20:00,1
2019-06-14 15:21:00,1
2019-06-14 15:22:00,2
2019-06-14 15:32:00,2
2019-06-14 15:33:00,1
2019-06-14 15:34:00,1
2019-06-14 15:35:00,2
2019-06-14 15:36:00,2
2019-06-14 15:41:00,1
2019-06-14 15:42:00,2
2019-06-14 15:43:00,1
2019-06-14 15:45:00,1
2019-06-14 15:46:00,2
2019-06-14 15:47:00,1
2019-06-14 15:48:00,1
2019-06-14 15:49:00,1
2019-06-14 15:50:00,1
2019-06-14 15:51:00,1
2019-06-14 15:52:00,1
2019-06-14 15:53:00,1
2019-06-14 15:54:00,1
2019-06-14 15:55:00,1
