3,"SELECT TOP # p.type, p.g, p.r, p.i, p.z FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID AND p.type = #"
2019-06-04 03:47:00,1
2019-06-04 14:55:00,1
2019-06-04 14:56:00,1
