3,"SELECT TOP # ObjID, modelMag_r, g.petroRad_r, s.z, Class FROM Galaxy as g JOIN SpecObj as s ON g.ObjID = s.bestObjID WHERE modelMag_g-modelMag_r < # AND petroRad_r > #"
2019-02-12 08:15:00,1
2019-02-12 08:17:00,2
