168,"select top # p.fieldID, p.run, p.rerun, p.camcol, p.field, p.obj, p.objid, s.specObjID, p.ra, p.dec, p.flags, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, p.petroRad_u, p.petroRad_g, p.petroRad_r, p.petroRad_i, p.petroRad_z, p.petroRadErr_u, p.petroRadErr_g, p.petroRadErr_r, p.petroRadErr_i, p.petroRadErr_z, p.rowc, p.rowcErr, p.rowc_u, p.rowc_g, p.rowc_r, p.rowc_i, p.rowc_z, p.colc, p.colcErr, p.colc_u, p.colc_g, p.colc_r, p.colc_i, p.colc_z, p.offsetRa_u, p.offsetRa_g, p.offsetRa_r, p.offsetRa_i, p.offsetRa_z, p.offsetDec_u, p.offsetDec_g, p.offsetDec_r, p.offsetDec_i, p.offsetDec_z, p.airmass_u, p.airmass_g, p.airmass_r, p.airmass_i, p.airmass_z, p.nObserve, p.nEdge, s.z as zspec, s.zErr as zspec_err, s.zWarning, s.class, s.subclass, s.primTarget, s.spectroFlux_u, s.spectroFlux_g, s.spectroFlux_r, s.spectroFlux_i, s.spectroFlux_z, s.spectroFluxIvar_u, s.spectroFluxIvar_g, s.spectroFluxIvar_r, s.spectroFluxIvar_i, s.spectroFluxIvar_z, s.snMedian_u, s.snMedian_g, s.snMedian_r, s.snMedian_i, s.snMedian_z from Galaxy as p, SpecObj as s where p.mode = # AND s.zWarning = # AND p.specObjId = s.specObjId AND p.dec > # AND p.dec < # AND p.clean = #"
2019-10-21 15:47:00,101
2019-10-21 17:59:00,2
2019-10-21 18:00:00,2
2019-10-21 18:01:00,11
2019-10-21 18:04:00,7
2019-10-21 18:05:00,17
2019-10-21 18:08:00,25
2019-10-23 11:41:00,1
2019-10-23 11:42:00,1
2019-10-23 11:45:00,1
