4,"SELECT S.ra as ra, S.dec as dec, S.psfMag_r as mag, S.psfMagErr_r as magerr, GN.distance as distance, S.objID, S.flags FROM Star AS S JOIN dbo.fGetNearbyObjEq (#, #, #) AS GN ON S.objID = GN.objID WHERE S.clean = # AND S.psfMag_r < # AND S.psfMag_r > # ORDER BY GN.distance"
2019-09-07 21:07:00,2
2019-09-07 21:08:00,2
