8,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.class FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.class = #"
2019-08-05 06:44:00,1
2019-08-05 06:57:00,2
2019-08-05 06:58:00,1
2019-10-15 06:34:00,1
2019-10-15 09:35:00,1
2019-10-15 09:38:00,1
2019-10-16 06:04:00,1
