2,"SELECT ObjID, r, g, i, u, redness, ra, dec into mydb.Red_E_Galaxies FROM mydb.E_Galaxies as e WHERE redness < # ORDER BY redness ASC"
2019-08-18 10:41:00,1
2019-08-18 10:44:00,1
