24,SELECT TOP # objID into mydb.MyTable from Galaxy
2019-01-04 09:52:00,1
2019-02-07 12:51:00,1
2019-02-27 00:37:00,1
2019-03-22 16:29:00,1
2019-03-22 16:35:00,1
2019-03-22 16:36:00,1
2019-03-22 16:37:00,1
2019-03-22 16:51:00,1
2019-04-15 18:08:00,1
2019-05-13 05:04:00,1
2019-05-13 05:05:00,1
2019-05-13 05:14:00,1
2019-06-15 12:38:00,3
2019-07-12 03:16:00,1
2019-08-05 12:41:00,1
2019-09-21 14:00:00,1
2019-09-23 00:37:00,1
2019-10-02 12:25:00,1
2019-10-02 12:28:00,1
2019-10-02 15:03:00,1
2019-11-04 02:38:00,1
2019-12-17 18:13:00,1
