45,"select p.objid, p.ra, p.dec, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-03-15 11:24:00,1
2019-03-15 11:26:00,1
2019-03-15 11:28:00,2
2019-03-15 11:29:00,1
2019-03-15 11:30:00,1
2019-03-15 11:31:00,1
2019-03-15 11:35:00,1
2019-03-15 11:36:00,1
2019-03-15 11:37:00,4
2019-03-15 11:38:00,1
2019-03-23 12:35:00,1
2019-07-08 10:13:00,1
2019-07-08 10:33:00,1
2019-07-08 10:36:00,2
2019-07-08 10:37:00,1
2019-07-08 10:39:00,1
2019-07-08 10:40:00,1
2019-07-08 10:41:00,1
2019-07-08 10:42:00,1
2019-07-08 10:44:00,1
2019-07-08 10:46:00,2
2019-07-08 10:48:00,1
2019-07-08 10:50:00,1
2019-07-08 10:54:00,1
2019-07-08 10:55:00,1
2019-07-09 13:32:00,1
2019-07-09 13:36:00,1
2019-07-09 13:39:00,1
2019-07-09 13:40:00,1
2019-07-09 13:41:00,1
2019-07-09 13:42:00,1
2019-07-09 13:43:00,1
2019-07-09 13:45:00,1
2019-07-09 14:14:00,2
2019-07-09 14:15:00,1
2019-11-20 19:51:00,1
2019-11-20 20:21:00,1
2019-11-20 20:22:00,1
