4,"SELECT TOP # a.idc, a.objid, a.modelmag_r, p.objid as pid, p.modelmag_r as pmag, p.modelmagerr_r ---INTO MyDB.aa FROM MyDB.agnvec AS a LEFT OUTER JOIN PhotoObj AS p ON a.objid = p.objid ORDER BY a.idc"
2019-07-17 15:03:00,1
2019-07-17 15:04:00,1
2019-07-17 15:05:00,2
