11,"select round (p.ra, #) as ra, round (p.dec, #) as dec, p.run, round (p.extinction_r, #) as rExtSFD, round (p.modelMag_u, #) as uRaw, round (p.modelMag_g, #) as gRaw, round (p.modelMag_r, #) as rRaw, round (p.modelMag_i, #) as iRaw, round (p.modelMag_z, #) as zRaw, round (p.modelMagErr_u, #) as uErr, round (p.modelMagErr_g, #) as gErr, round (p.modelMagErr_r, #) as rErr, round (p.modelMagErr_i, #) as iErr, round (p.modelMagErr_z, #) as zErr, round (p.psfMag_u, #) as uRawPSF, round (p.psfMag_g, #) as gRawPSF, round (p.psfMag_r, #) as rRawPSF, round (p.psfMag_i, #) as iRawPSF, round (p.psfMag_z, #) as zRawPSF, round (p.psfMagErr_u, #) as upsfErr, round (p.psfMagErr_g, #) as gpsfErr, round (p.psfMagErr_r, #) as rpsfErr, round (p.psfMagErr_i, #) as ipsfErr, round (p.psfMagErr_z, #) as zpsfErr, p.type, (case when (p.flags & #) = # then # else # end) as ISOLATED from photoObjDR7 into mydb.SDSSimagingSample where (p.ra > #) AND (p.ra < #) AND (p.dec > #) AND (p.dec < #) AND (p.type = # OR p.type = #) AND (p.flags & #) = # AND (p.mode = #) AND (p.modelMag_r < #)"
2019-05-30 14:34:00,2
2019-05-30 14:35:00,7
2019-05-30 14:36:00,2
