4,"SELECT TOP # spa.specObjID, spa.ra, spa.dec, spa.z, poa.modelMag_r, poa.r, poa.u, poa.g, poa.i, FROM SpecPhotoAll as spa WHERE spa.z> #"
2019-10-04 13:51:00,2
2019-10-04 13:52:00,2
