2,"SELECT TOP # s.glon, s.glat, a.fe_h, a.fe_h_err FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE s.glat > #"
2019-10-28 20:29:00,1
2019-10-28 20:30:00,1
