83,"select O.ra, O.dec, O.psfMag_u, O.psfMagErr_u, O.psfMag_g, O.psfMagErr_g, O.psfMag_r, O.psfMagErr_r, O.psfMag_i, O.psfMagErr_i, O.psfMag_z, O.psfMagErr_z, O.probPSF from dbo.fGetNearbyObjEq (#, #, #) as N inner join PhotoObjAll as O on O.objID = N.objID order by N.distance"
2019-02-15 16:58:00,1
2019-02-15 17:06:00,1
2019-05-16 17:34:00,1
2019-05-16 17:44:00,1
2019-05-16 17:46:00,3
2019-05-16 17:47:00,1
2019-05-16 17:48:00,1
2019-05-16 18:21:00,1
2019-05-24 15:49:00,1
2019-06-07 17:44:00,1
2019-06-24 16:10:00,1
2019-06-24 16:22:00,1
2019-06-24 16:24:00,1
2019-06-24 17:52:00,3
2019-06-24 17:57:00,1
2019-06-24 18:08:00,1
2019-06-24 18:17:00,1
2019-06-24 18:18:00,2
2019-06-24 18:19:00,1
2019-06-24 18:21:00,1
2019-06-24 18:23:00,1
2019-06-24 18:31:00,1
2019-06-24 18:32:00,1
2019-06-24 18:33:00,1
2019-06-24 18:34:00,1
2019-06-24 18:41:00,2
2019-06-24 18:42:00,2
2019-06-24 18:46:00,1
2019-06-24 19:01:00,1
2019-06-24 20:40:00,1
2019-07-10 14:01:00,1
2019-07-10 14:19:00,1
2019-07-16 21:37:00,1
2019-07-16 21:38:00,1
2019-07-17 15:37:00,1
2019-07-17 16:20:00,1
2019-07-17 16:27:00,1
2019-07-17 17:28:00,1
2019-07-17 19:00:00,1
2019-07-17 19:05:00,1
2019-07-17 19:08:00,1
2019-07-17 19:18:00,1
2019-07-24 14:57:00,1
2019-07-30 16:02:00,1
2019-07-31 15:08:00,1
2019-07-31 17:32:00,1
2019-08-01 19:07:00,1
2019-08-06 15:25:00,1
2019-08-06 18:42:00,1
2019-08-06 18:45:00,1
2019-08-06 18:51:00,1
2019-08-06 18:53:00,1
2019-08-06 18:54:00,1
2019-08-06 19:01:00,1
2019-08-09 16:17:00,1
2019-08-20 04:25:00,1
2019-08-20 05:58:00,1
2019-08-20 14:18:00,1
2019-08-21 19:36:00,1
2019-08-26 14:48:00,1
2019-08-27 02:30:00,1
2019-08-30 20:52:00,1
2019-09-02 17:50:00,1
2019-09-06 19:33:00,1
2019-09-10 19:26:00,1
2019-09-11 18:27:00,1
2019-09-12 13:59:00,1
2019-09-12 15:51:00,1
2019-09-17 17:20:00,1
2019-09-17 20:26:00,1
2019-09-18 04:14:00,1
2019-09-18 17:26:00,1
2019-09-19 18:35:00,1
2019-09-20 20:04:00,1
2019-10-16 02:10:00,1
2019-12-12 19:03:00,1
