90,"select top # specobjid, ra, dec from specobj order by specobjid"
2019-01-03 02:38:00,1
2019-01-16 02:03:00,1
2019-01-26 23:36:00,1
2019-01-26 23:48:00,1
2019-01-26 23:51:00,1
2019-01-28 22:36:00,1
2019-02-05 14:21:00,1
2019-02-06 03:29:00,1
2019-02-11 20:03:00,1
2019-02-11 20:14:00,1
2019-02-11 20:38:00,1
2019-02-27 17:51:00,1
2019-02-27 18:30:00,1
2019-02-28 03:57:00,1
2019-03-01 18:19:00,1
2019-03-01 20:34:00,1
2019-03-03 11:37:00,1
2019-03-03 12:01:00,1
2019-03-04 08:54:00,1
2019-03-05 23:12:00,1
2019-03-05 23:25:00,1
2019-03-25 15:59:00,1
2019-04-04 19:44:00,1
2019-04-08 14:44:00,1
2019-04-08 17:26:00,1
2019-04-08 19:28:00,1
2019-04-11 08:48:00,1
2019-04-11 09:10:00,1
2019-04-29 21:54:00,1
2019-04-30 19:54:00,1
2019-05-06 09:36:00,1
2019-05-08 08:15:00,1
2019-05-15 15:15:00,1
2019-05-17 12:42:00,1
2019-05-21 21:57:00,1
2019-05-22 12:35:00,1
2019-05-26 13:57:00,1
2019-05-26 14:05:00,1
2019-05-26 14:09:00,1
2019-06-06 12:46:00,1
2019-06-08 14:24:00,1
2019-06-10 19:25:00,1
2019-06-12 08:11:00,1
2019-06-12 08:30:00,1
2019-06-14 16:53:00,1
2019-06-17 11:00:00,1
2019-06-26 21:15:00,1
2019-06-26 21:24:00,1
2019-06-26 21:33:00,1
2019-07-01 13:51:00,1
2019-07-07 02:48:00,1
2019-07-07 03:03:00,1
2019-07-08 03:47:00,1
2019-07-08 03:55:00,1
2019-07-08 04:10:00,1
2019-07-08 04:15:00,1
2019-07-08 16:13:00,1
2019-07-14 17:24:00,1
2019-07-15 11:29:00,1
2019-07-16 13:30:00,1
2019-07-30 21:52:00,1
2019-07-30 22:06:00,1
2019-08-09 06:29:00,1
2019-08-12 20:37:00,1
2019-08-12 20:40:00,1
2019-08-12 20:46:00,1
2019-08-23 16:05:00,1
2019-09-26 08:20:00,1
2019-09-26 08:39:00,1
2019-10-03 21:23:00,1
2019-10-03 23:42:00,1
2019-11-07 02:36:00,1
2019-11-09 15:50:00,1
2019-11-09 15:59:00,1
2019-12-04 19:43:00,1
2019-12-04 21:46:00,1
2019-12-10 12:44:00,1
2019-12-13 21:50:00,1
2019-12-13 21:55:00,1
2019-12-13 22:12:00,2
2019-12-17 05:25:00,1
2019-12-17 05:41:00,1
2019-12-17 05:54:00,1
2019-12-17 12:28:00,1
2019-12-18 03:40:00,1
2019-12-30 14:05:00,1
2019-12-30 14:30:00,1
2019-12-30 14:33:00,1
2019-12-31 02:33:00,1
