201,"select p.objid as name, p.ra, p.dec from star p where (p.r BETWEEN # AND #) and (p.r-p.i BETWEEN # AND #)"
2019-03-28 00:54:00,1
2019-03-28 01:06:00,1
2019-03-28 01:16:00,1
2019-03-28 01:23:00,1
2019-03-28 01:33:00,1
2019-03-28 01:50:00,1
2019-03-28 02:04:00,1
2019-03-28 02:11:00,1
2019-03-28 02:18:00,1
2019-03-28 02:27:00,1
2019-03-28 02:35:00,1
2019-03-28 02:48:00,1
2019-03-28 03:04:00,1
2019-03-28 03:15:00,1
2019-03-28 03:24:00,1
2019-03-28 03:31:00,1
2019-03-28 04:55:00,1
2019-03-28 12:42:00,1
2019-03-28 13:03:00,1
2019-03-28 14:27:00,1
2019-03-28 14:45:00,1
2019-03-28 14:54:00,1
2019-03-28 15:01:00,1
2019-03-28 15:17:00,1
2019-03-28 15:21:00,1
2019-03-28 15:27:00,1
2019-03-28 16:44:00,1
2019-03-28 16:53:00,1
2019-03-28 17:57:00,1
2019-04-06 21:46:00,1
2019-04-06 21:51:00,1
2019-04-07 17:34:00,1
2019-04-07 17:39:00,1
2019-04-07 17:41:00,1
2019-04-07 17:45:00,1
2019-04-07 18:24:00,1
2019-04-07 18:30:00,1
2019-04-07 18:41:00,1
2019-04-08 01:26:00,1
2019-04-08 01:34:00,1
2019-04-08 01:41:00,1
2019-04-08 02:02:00,1
2019-04-08 02:05:00,1
2019-04-08 02:13:00,1
2019-04-08 02:17:00,1
2019-04-08 02:22:00,1
2019-04-08 02:25:00,1
2019-04-08 02:27:00,1
2019-04-08 02:30:00,1
2019-04-08 02:33:00,1
2019-04-08 02:36:00,1
2019-04-08 02:39:00,1
2019-04-08 02:41:00,1
2019-04-08 02:43:00,1
2019-04-08 02:47:00,1
2019-04-08 02:50:00,1
2019-04-08 04:24:00,1
2019-04-08 04:32:00,1
2019-04-08 04:36:00,1
2019-04-08 04:42:00,1
2019-04-08 04:45:00,1
2019-04-08 04:56:00,1
2019-04-08 04:57:00,1
2019-04-08 04:59:00,1
2019-04-08 05:01:00,1
2019-04-08 05:03:00,1
2019-04-08 14:47:00,1
2019-06-13 01:16:00,1
2019-06-13 01:20:00,1
2019-06-13 01:27:00,1
2019-06-13 01:29:00,1
2019-06-13 01:38:00,1
2019-06-14 23:46:00,1
2019-06-15 00:02:00,1
2019-06-15 00:08:00,1
2019-06-25 01:55:00,1
2019-06-25 01:57:00,1
2019-06-25 02:03:00,1
2019-06-25 02:10:00,1
2019-06-25 02:12:00,1
2019-06-25 02:16:00,1
2019-06-25 02:21:00,1
2019-06-25 02:29:00,1
2019-07-10 11:49:00,1
2019-07-10 17:14:00,1
2019-07-10 17:20:00,1
2019-07-10 17:49:00,1
2019-07-14 13:44:00,1
2019-07-14 13:51:00,1
2019-07-15 13:54:00,1
2019-09-07 14:42:00,1
2019-09-07 14:46:00,1
2019-09-07 14:47:00,1
2019-09-07 14:55:00,1
2019-09-07 14:58:00,1
2019-09-11 00:10:00,1
2019-09-11 00:13:00,1
2019-09-11 00:16:00,1
2019-09-11 00:18:00,1
2019-09-11 01:23:00,1
2019-09-11 01:28:00,1
2019-09-11 01:35:00,1
2019-09-11 01:41:00,1
2019-09-11 19:43:00,1
2019-09-11 19:51:00,1
2019-09-11 19:59:00,1
2019-09-24 01:53:00,1
2019-09-24 01:56:00,1
2019-09-24 02:00:00,1
2019-09-24 02:03:00,1
2019-09-24 02:07:00,1
2019-09-24 02:08:00,1
2019-09-24 02:18:00,1
2019-09-24 02:21:00,1
2019-09-24 02:52:00,1
2019-09-24 02:55:00,1
2019-09-24 02:59:00,1
2019-09-24 03:03:00,1
2019-09-24 03:05:00,1
2019-09-24 03:10:00,1
2019-09-24 23:25:00,1
2019-09-24 23:29:00,1
2019-09-24 23:36:00,1
2019-09-24 23:47:00,1
2019-09-27 02:00:00,1
2019-09-27 02:07:00,1
2019-09-27 02:13:00,1
2019-09-27 02:14:00,1
2019-09-27 02:17:00,1
2019-09-27 02:19:00,1
2019-09-27 02:24:00,1
2019-09-27 02:26:00,1
2019-09-27 02:32:00,1
2019-09-27 02:35:00,1
2019-09-27 02:38:00,1
2019-09-27 02:44:00,1
2019-09-27 02:50:00,1
2019-10-10 00:03:00,1
2019-10-10 00:08:00,1
2019-10-10 00:34:00,1
2019-10-10 00:37:00,1
2019-10-10 01:40:00,1
2019-10-10 01:57:00,1
2019-10-10 02:05:00,1
2019-10-10 15:51:00,1
2019-10-10 17:47:00,1
2019-10-10 18:13:00,1
2019-10-10 18:23:00,1
2019-10-10 18:25:00,1
2019-10-10 18:31:00,1
2019-10-10 18:34:00,1
2019-10-10 18:38:00,1
2019-10-10 18:39:00,2
2019-10-10 18:51:00,1
2019-10-10 19:00:00,1
2019-10-10 19:06:00,1
2019-10-10 19:11:00,1
2019-10-10 19:16:00,1
2019-10-10 19:20:00,1
2019-10-10 19:24:00,1
2019-10-10 19:27:00,1
2019-10-10 19:32:00,1
2019-10-13 18:05:00,1
2019-10-13 18:06:00,1
2019-10-13 18:07:00,1
2019-10-13 18:08:00,1
2019-10-13 18:54:00,1
2019-10-25 23:36:00,1
2019-10-26 15:13:00,1
2019-10-26 15:24:00,1
2019-10-26 15:26:00,1
2019-10-26 15:32:00,1
2019-10-26 15:46:00,1
2019-10-26 16:51:00,1
2019-10-26 16:56:00,1
2019-10-27 19:25:00,1
2019-10-27 19:29:00,1
2019-10-27 19:34:00,1
2019-10-27 19:37:00,1
2019-10-27 19:40:00,1
2019-10-29 13:24:00,1
2019-10-29 20:03:00,1
2019-10-29 20:53:00,1
2019-10-29 21:33:00,1
2019-11-02 20:55:00,1
2019-11-15 20:49:00,1
2019-11-15 20:51:00,1
2019-11-16 00:57:00,1
2019-11-16 02:57:00,1
2019-11-16 02:59:00,1
2019-11-16 03:02:00,1
2019-11-16 03:05:00,1
2019-11-23 03:30:00,1
2019-12-14 13:40:00,1
2019-12-14 13:42:00,1
2019-12-14 13:45:00,1
2019-12-14 13:49:00,1
2019-12-25 14:35:00,1
2019-12-29 20:25:00,1
2019-12-29 20:30:00,1
