5385,"SELECT TOP # dbo.fIAUFromEq (p.ra, p.dec) , p.ra, p.dec, p.modelmag_g, p.modelmag_r, p.modelmag_i FROM Galaxy as p WHERE p.modelmag_r< # and p.ra< # and p.ra> # and p.dec> # and p.dec< # order by p.modelmag_r"
2019-01-16 20:14:00,1
2019-01-16 20:15:00,3
2019-02-08 00:25:00,1
2019-02-25 18:13:00,1
2019-03-31 15:01:00,1
2019-03-31 15:03:00,4
2019-03-31 15:04:00,5
2019-03-31 15:05:00,2
2019-03-31 15:08:00,1
2019-03-31 15:09:00,1
2019-03-31 15:10:00,1
2019-03-31 15:11:00,2
2019-03-31 15:12:00,1
2019-03-31 15:13:00,2
2019-03-31 15:15:00,1
2019-03-31 15:16:00,4
2019-03-31 15:17:00,6
2019-03-31 15:18:00,7
2019-03-31 15:19:00,4
2019-03-31 15:20:00,10
2019-03-31 15:21:00,1
2019-03-31 15:22:00,4
2019-03-31 15:23:00,1
2019-03-31 15:24:00,5
2019-03-31 15:25:00,11
2019-03-31 15:27:00,3
2019-03-31 15:28:00,3
2019-03-31 15:29:00,1
2019-03-31 15:31:00,1
2019-03-31 15:33:00,5
2019-03-31 15:34:00,3
2019-03-31 15:35:00,7
2019-03-31 15:36:00,4
2019-03-31 15:38:00,5
2019-03-31 15:40:00,1
2019-03-31 15:42:00,8
2019-03-31 15:43:00,6
2019-03-31 15:44:00,8
2019-03-31 15:45:00,3
2019-03-31 15:46:00,7
2019-03-31 15:47:00,2
2019-03-31 15:49:00,5
2019-03-31 15:50:00,10
2019-03-31 15:51:00,8
2019-03-31 15:52:00,14
2019-03-31 15:53:00,9
2019-03-31 15:54:00,7
2019-03-31 15:55:00,10
2019-03-31 15:56:00,7
2019-03-31 15:57:00,8
2019-03-31 15:58:00,6
2019-03-31 15:59:00,18
2019-03-31 16:00:00,22
2019-03-31 16:01:00,20
2019-03-31 16:02:00,5
2019-03-31 16:03:00,9
2019-03-31 16:04:00,10
2019-03-31 16:05:00,13
2019-03-31 16:06:00,8
2019-03-31 16:07:00,25
2019-03-31 16:08:00,18
2019-03-31 16:09:00,19
2019-03-31 16:10:00,4
2019-03-31 16:13:00,3
2019-03-31 16:14:00,10
2019-03-31 16:15:00,10
2019-03-31 16:16:00,9
2019-03-31 16:17:00,8
2019-03-31 16:18:00,7
2019-03-31 16:19:00,9
2019-03-31 16:20:00,15
2019-03-31 16:21:00,15
2019-03-31 16:22:00,4
2019-03-31 16:23:00,8
2019-03-31 16:24:00,7
2019-03-31 16:25:00,13
2019-03-31 16:26:00,18
2019-03-31 16:27:00,23
2019-03-31 16:28:00,20
2019-03-31 16:29:00,9
2019-03-31 16:30:00,14
2019-03-31 16:31:00,9
2019-03-31 16:32:00,8
2019-03-31 16:33:00,5
2019-03-31 16:34:00,1
2019-03-31 16:35:00,4
2019-03-31 16:36:00,5
2019-03-31 16:37:00,1
2019-03-31 16:38:00,3
2019-03-31 16:39:00,3
2019-03-31 16:40:00,7
2019-03-31 16:41:00,10
2019-03-31 16:42:00,9
2019-03-31 16:43:00,4
2019-03-31 16:45:00,1
2019-03-31 17:01:00,2
2019-03-31 17:02:00,8
2019-03-31 17:03:00,10
2019-03-31 17:04:00,4
2019-03-31 17:09:00,1
2019-04-01 14:11:00,1
2019-04-01 14:12:00,2
2019-04-01 14:13:00,7
2019-04-01 14:16:00,3
2019-04-01 14:17:00,7
2019-04-01 14:18:00,18
2019-04-01 14:19:00,14
2019-04-01 14:20:00,18
2019-04-01 14:21:00,1
2019-04-01 14:23:00,11
2019-04-01 14:24:00,15
2019-04-01 23:18:00,6
2019-04-01 23:19:00,7
2019-04-01 23:20:00,20
2019-04-01 23:21:00,60
2019-04-01 23:22:00,40
2019-04-01 23:23:00,5
2019-04-01 23:24:00,1
2019-04-01 23:25:00,9
2019-04-01 23:26:00,20
2019-04-01 23:27:00,23
2019-04-01 23:28:00,35
2019-04-01 23:29:00,46
2019-04-01 23:30:00,18
2019-04-01 23:31:00,32
2019-04-01 23:32:00,41
2019-04-01 23:33:00,49
2019-04-01 23:34:00,31
2019-04-01 23:35:00,17
2019-04-01 23:36:00,21
2019-04-01 23:37:00,12
2019-04-01 23:38:00,27
2019-04-01 23:39:00,31
2019-04-01 23:40:00,29
2019-04-01 23:41:00,35
2019-04-01 23:42:00,30
2019-04-01 23:43:00,25
2019-04-01 23:44:00,25
2019-04-01 23:45:00,25
2019-04-01 23:46:00,27
2019-04-01 23:47:00,37
2019-04-01 23:48:00,22
2019-04-01 23:49:00,26
2019-04-01 23:50:00,26
2019-04-01 23:51:00,17
2019-04-01 23:52:00,33
2019-04-01 23:53:00,42
2019-04-01 23:54:00,42
2019-04-01 23:55:00,39
2019-04-01 23:56:00,37
2019-04-01 23:57:00,38
2019-04-01 23:58:00,47
2019-04-01 23:59:00,40
2019-04-02 00:00:00,27
2019-04-02 00:01:00,30
2019-04-02 00:02:00,19
2019-04-02 00:03:00,48
2019-04-02 00:04:00,75
2019-04-02 00:05:00,15
2019-04-02 00:06:00,42
2019-04-02 00:07:00,32
2019-04-02 00:08:00,31
2019-04-02 00:09:00,23
2019-04-02 00:10:00,26
2019-04-02 00:11:00,26
2019-04-02 00:12:00,13
2019-04-02 00:13:00,6
2019-04-02 00:14:00,6
2019-04-02 00:15:00,15
2019-04-02 00:16:00,2
2019-04-02 00:17:00,4
2019-04-02 00:18:00,4
2019-04-02 00:19:00,3
2019-04-02 00:20:00,5
2019-04-02 00:21:00,1
2019-04-02 00:43:00,6
2019-04-02 00:44:00,1
2019-04-02 00:46:00,1
2019-04-02 00:48:00,1
2019-04-02 00:55:00,2
2019-04-02 01:14:00,4
2019-04-02 01:20:00,1
2019-04-02 22:56:00,1
2019-04-02 22:57:00,2
2019-04-02 22:58:00,7
2019-04-02 22:59:00,18
2019-04-02 23:00:00,3
2019-04-02 23:01:00,2
2019-04-02 23:03:00,4
2019-04-02 23:04:00,8
2019-04-02 23:05:00,16
2019-04-02 23:06:00,23
2019-04-02 23:07:00,37
2019-04-02 23:08:00,46
2019-04-02 23:09:00,41
