3,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND (s.primTarget & (dbo.fPrimTarget (#) + dbo.fPrimTarget (#) + dbo.fPrimTarget (#) + dbo.fPrimTarget (#) + dbo.fPrimTarget (#) ) > #)"
2019-05-02 22:29:00,1
2019-05-02 23:00:00,1
2019-10-05 11:35:00,1
