45,"select TOP # plate, MJD, fiberID from SpecObj where class = # and waveMin < = # and waveMax > = # and snMedian_g > # AND snMedian_g < # and subclass = #"
2019-10-09 09:26:00,1
2019-10-09 09:27:00,1
2019-10-09 09:35:00,2
2019-10-09 09:36:00,2
2019-10-09 09:37:00,4
2019-10-09 09:38:00,3
2019-10-09 09:39:00,2
2019-10-09 09:40:00,6
2019-10-09 09:41:00,2
2019-10-09 09:42:00,3
2019-10-09 09:52:00,6
2019-10-09 09:53:00,2
2019-10-09 09:54:00,3
2019-10-09 09:55:00,3
2019-10-09 09:56:00,2
2019-10-09 09:57:00,2
2019-10-09 09:58:00,1
