19,"select top # p.objid, p.ra, p.dec, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from photoobj p, specobj s where p.objid = s.bestobjid and (s.class = #) and s.z BETWEEN # AND #"
2019-01-27 02:31:00,3
2019-01-27 02:35:00,2
2019-01-27 02:36:00,1
2019-01-27 02:37:00,1
2019-01-27 03:04:00,1
2019-01-27 03:05:00,1
2019-01-27 03:06:00,1
2019-01-27 03:08:00,1
2019-01-27 03:09:00,1
2019-01-27 03:10:00,1
2019-01-27 03:12:00,1
2019-01-27 03:13:00,1
2019-01-27 04:10:00,1
2019-01-27 04:13:00,1
2019-01-27 04:14:00,1
2019-01-27 04:15:00,1
