13,"SELECT TOP # p.objid, p.ra, p.dec, s.specobjid, s.class, s.subclass, s.z as redshift, s.plate, s.mjd, s.fiberid, s.snMedian, s.zWarning FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.snMedian > # AND s.class = # AND (subclass LIKE #) AND s.zWarning = #"
2019-02-23 10:47:00,1
2019-02-23 10:54:00,1
2019-02-23 11:05:00,1
2019-02-23 11:09:00,1
2019-02-23 11:12:00,1
2019-02-23 11:19:00,1
2019-05-19 16:45:00,1
2019-05-19 16:46:00,1
2019-05-19 17:11:00,1
2019-05-19 18:46:00,1
2019-05-19 18:47:00,1
2019-05-19 18:48:00,1
2019-05-19 18:50:00,1
