1127,"SELECT prim.bestObjId, prim.mjd AS PrimMJD, prim.plate AS PrimPlate, other.mjd AS OtherMJD, other.plate AS OtherPlate, prim.z AS PrimZ, other.z AS OtherZ, plate.programname FROM SpecObjAll prim JOIN SpecObjAll other ON prim.bestObjId = other.bestObjId JOIN platex AS plate ON other.plate = plate.plate AND other.mjd = plate.mjd WHERE other.bestObjId > # AND prim.sciencePrimary = # AND other.sciencePrimary = # AND prim.z > # ORDER BY prim.bestObjId"
2019-01-01 00:15:00,1
2019-01-01 09:04:00,1
2019-01-01 11:11:00,1
2019-01-01 15:22:00,1
2019-01-02 00:21:00,1
2019-01-02 00:51:00,1
2019-01-02 01:00:00,1
2019-01-02 11:30:00,1
2019-01-03 10:27:00,1
2019-01-03 11:08:00,1
2019-01-03 13:45:00,1
2019-01-03 16:10:00,1
2019-01-04 07:04:00,1
2019-01-04 16:48:00,1
2019-01-05 02:45:00,1
2019-01-05 07:28:00,1
2019-01-05 09:33:00,3
2019-01-05 11:52:00,1
2019-01-05 15:37:00,1
2019-01-05 21:35:00,1
2019-01-06 12:46:00,1
2019-01-07 00:13:00,1
2019-01-07 06:00:00,1
2019-01-07 08:58:00,1
2019-01-07 22:58:00,1
2019-01-07 23:34:00,1
2019-01-07 23:57:00,1
2019-01-08 03:31:00,1
2019-01-08 03:41:00,1
2019-01-08 05:28:00,1
2019-01-08 06:28:00,1
2019-01-08 07:29:00,1
2019-01-08 08:12:00,1
2019-01-08 08:42:00,1
2019-01-08 14:55:00,1
2019-01-08 18:51:00,1
2019-01-08 21:23:00,1
2019-01-10 01:45:00,1
2019-01-10 02:14:00,1
2019-01-10 10:43:00,1
2019-01-10 22:00:00,1
2019-01-11 04:46:00,1
2019-01-12 03:24:00,1
2019-01-12 13:24:00,1
2019-01-12 20:18:00,1
2019-01-12 22:50:00,2
2019-01-13 02:43:00,1
2019-01-13 08:33:00,1
2019-01-13 09:13:00,1
2019-01-13 20:11:00,1
2019-01-14 08:11:00,1
2019-01-14 10:57:00,1
2019-01-14 11:18:00,1
2019-01-14 17:00:00,1
2019-01-15 10:56:00,1
2019-01-15 10:57:00,1
2019-01-15 21:11:00,1
2019-01-15 23:01:00,1
2019-01-16 00:05:00,1
2019-01-16 02:26:00,1
2019-01-16 18:49:00,1
2019-01-17 04:32:00,1
2019-01-17 12:24:00,1
2019-01-17 23:16:00,1
2019-01-18 14:11:00,1
2019-01-18 14:43:00,1
2019-01-18 20:14:00,1
2019-01-18 20:57:00,1
2019-01-19 18:17:00,1
2019-01-19 18:56:00,1
