24,"select type, ra, dec, psfMag_r, psfMagErr_r, extinction_r FROM star WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-09-17 01:42:00,2
2019-09-17 01:43:00,1
2019-09-17 01:51:00,1
2019-09-17 01:52:00,1
2019-09-17 15:01:00,2
2019-09-17 16:19:00,1
2019-09-30 02:51:00,1
2019-09-30 03:08:00,1
2019-09-30 03:10:00,1
2019-09-30 03:11:00,1
2019-09-30 03:14:00,1
2019-09-30 03:19:00,1
2019-09-30 03:20:00,2
2019-09-30 04:11:00,1
2019-09-30 04:27:00,1
2019-11-07 23:01:00,2
2019-11-07 23:03:00,2
2019-11-07 23:59:00,2
