2,"SELECT TOP # rv_teff, objid, modelmag_r, modelmag_r-#*log1# (#E+#*z) +# as abs_mag_r FROM SpecPhoto, apogeeStar WHERE (class = #) AND rv_teff > # AND modelmag_r-#*log1# (#E+#*z) +# < #AND z> #"
2019-06-22 01:14:00,1
2019-06-22 01:18:00,1
